unit,area,regional
SUPP REG 01 HO,SUPPCO REG 01 - HO,SUPPCO REG 01
SWH,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
BSN,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
ARS,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
BATURAJA,SUPPCO REG 07 - PABRIK,SUPPCO REG 07
KETAHUN,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
RESA-PEWA,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
BERGEN,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
SUPP REG 07 HO,SUPPCO REG 07 - HO,SUPPCO REG 07
BERINGIN,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
SENABING,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
KEDATON,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
MUSILANDAS,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
PAGARALAM,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
PADANG PELAWI,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
WAY BERULU,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
SUNGAI NIRU,SUPPCO REG 07 - PABRIK,SUPPCO REG 07
TALOPINO,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
TEBENAN,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
TULUNGBUYUT,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
WAY LIMA,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
CISARUNI,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
RANCABALI,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
CIATER,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
SUPP REG 02 HO,SUPPCO REG 02 - HO,SUPPCO REG 02
SEDEP,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
MALABAR,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
GM TEH ON FARM,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
MONTAYA,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
GEDEH,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
AGROWISATA,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
CIBUNGUR,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
PASIR BADAK,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
MIRA MARE,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
BAGJANAGARA,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
BATULAWANG,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
BUNISARI LND,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
JALUPANG,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
GM KARET I,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
CIKUMPAY,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
CIKASO,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
IN HILIR TEH,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
SUPP REG 03 HO,SUPPCO REG 03 - HO,SUPPCO REG 03
KRUMPUT,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
RSS KRUMPUT,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
RSS KAWUNG,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
KAWUNG,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
WARNASARI,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
KALIGUA,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
TEH KALIGUA,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
RSS SILUWOK,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
SILUWOK,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
RSS BLIMBING,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
BLIMBING,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
TEH JOLOTIGO,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
SEMUGIH,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
RSS NGOBO,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
NGOBO,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
GETAS,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
KOPI GETAS,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
RSS GETAS,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
RSS KERJOARUM,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
BATUJAMUS,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
SUKAMANGLI,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
RSS SUKAMANGLI,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
JOLLONG,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
RSS MERBUH,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
MERBUH,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
BALONG,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
RSS BALONG,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
RSS KALITELO,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
SUPPCO HO,SUPPCO HO,SUPPCO HO
UNIT ON FARM TS,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
UUS N11,SUPPCO REG 04 - PABRIK,SUPPCO REG 04
SUPP REG 05 HO,SUPPCO REG 05 - HO,SUPPCO REG 05
PANCUR ANGKREK,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
KENDENG LEMBU,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
BANJARSARI,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
KERTOWONO,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
PERWAKILAN JBR,SUPPCO REG 05 - HO,SUPPCO REG 05
PERWAKILAN MLG,SUPPCO REG 05 - HO,SUPPCO REG 05
SUNGAI LEMBU,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
TRETES,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
NGRANGKAH PAWON,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
SILOSANEN,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
SUMBER JAMBE,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
WONOSARI,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
PASEWARAN,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
KALIKEMPIT,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
SUPP REG 08 HO,SUPPCO REG 08 - HO,SUPPCO REG 08
BETELEME,SUPPCO REG 04 - KEBUN,SUPPCO REG 04
TERNAK KABARU,SUPPCO REG 04 - PABRIK,SUPPCO REG 04
AWAYA-TELPAP,SUPPCO REG 04 - KEBUN,SUPPCO REG 04
RTT,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
MEL,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
KWS,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
TDM,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
BKL,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
TGP,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
GM TEH OFF FARM,SUPPCO REG 02 - KEBUN,SUPPCO REG 02
RSS WARNASARI,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
RSS BUAWARAN,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
TEH SEMUGIH,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
KOPI JOLLONG,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
KAKOBA,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
PB.PRODUK HILIR,SUPPCO REG 03 - PABRIK,SUPPCO REG 03
SUPPREG4HO EX10,SUPPCO REG 04 - HO,SUPPCO REG 04
KLATEN,SUPPCO REG 04 - KEBUN,SUPPCO REG 04
KERTOSARI,SUPPCO REG 04 - KEBUN,SUPPCO REG 04
ADJONG GAYAS,SUPPCO REG 04 - KEBUN,SUPPCO REG 04
SUPP REG 04 HO,SUPPCO REG 04 - HO,SUPPCO REG 04
PK ROSELLA BARU,SUPPCO REG 04 - PABRIK,SUPPCO REG 04
GLANTANGAN,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
KALISANEN,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
BANTARAN,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
ZEELANDIA,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
TJT,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
PSS,SUPPCO REG 01 - PABRIK,SUPPCO REG 01
PRODUK HILIR,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
JOLOTIGO,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
UNIT NAWAKARYA,SUPPCO REG 03 - KEBUN,SUPPCO REG 03
GUNUNG GAMBIR,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
KALISAT JAMPIT,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
MALANGSARI,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
GUNUNG GUMITIR,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
BLAWAN,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
PANCURSARI,SUPPCO REG 05 - KEBUN,SUPPCO REG 05
PTK,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
BKP,SUPPCO REG 01 - DISTRIK,SUPPCO REG 01
SWS,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
MIRA,SUPPCO REG 04 - KEBUN,SUPPCO REG 04
LMR,SUPPCO REG 01 - KEBUN,SUPPCO REG 01
PERWAKILAN JKT,SUPPCO REG 05 - HO,SUPPCO REG 05
BEKRI,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
BENTAYAN,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
BETUNG,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
K PWKL SUMSEL,SUPPCO REG 07 - HO,SUPPCO REG 07
SUNGAI LENGI,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
PADANGRATU,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
TALANG SAWIT,SUPPCO REG 07 - PABRIK,SUPPCO REG 07
BETUNG KRAWO,SUPPCO REG 07 - KEBUN,SUPPCO REG 07
